unit_name,mid_elo,high_elo,unit_cost
Akali,0.0611894875299822,0.02717809225401416,2.0
Ambessa,0.13123623840261964,0.1550830623076971,4.0
Amumu,0.0614119735978693,0.018591765817413168,1.0
Black Rose Sion,0.06917153478491768,0.06725107726719516,
Blitzcrank,0.05281941470378301,0.019469818250306054,3.0
Caitlyn,0.07795458608975504,0.07404567610493455,5.0
Camille,0.0948149524222346,0.06305458904223617,2.0
Cassiopeia,0.05699312597835704,0.026942491715958004,3.0
Corki,0.07679636924919943,0.15516047966176735,4.0
Darius,0.07834590146738306,0.017758023454780687,1.0
Dr. Mundo,0.07319398347574323,0.06678852643419572,4.0
Draven,0.06791528950911985,0.016286644951140065,1.0
Ekko,0.11898143215520664,0.20869009430549187,4.0
Elise,0.24098441373221502,0.39170935383087213,4.0
Ezreal,0.08571864576747835,0.07375793563058652,3.0
Gangplank,0.1261663907205543,0.18136598314743557,3.0
Garen,0.09699270195453401,0.13391530341140823,4.0
Heimerdinger,0.05741664582538073,0.08658073434371504,4.0
Illaoi,0.1460475697270104,0.17002372223420315,4.0
Irelia,0.07692573362651532,0.10327943846406769,1.0
Jayce,0.05360203978737809,0.09341437640057859,5.0
Jayce's summons,0.05259359755217504,0.09074068518629627,
Jinx,0.06739504348458053,0.05051879245427632,5.0
Kog'Maw,0.0692435265776508,0.01747040624159268,3.0
LeBlanc,0.05542692495690875,0.07859238447090233,5.0
Leona,0.051633542260758794,0.06354520867213385,2.0
Loris,0.14322499954017914,0.12120801458182284,3.0
Lux,0.039241044839615415,0.02893723326740918,1.0
Maddie,0.0633629074346444,0.05133778299255612,1.0
Malzahar,0.040516206482593034,0.04918540004834421,5.0
Mel,0.03431173266119197,0.04346509926591156,6.0
Mordekaiser,0.0704027000449198,0.03832969376872683,5.0
Morgana,0.07083865893225837,0.05997806843284649,1.0
Nami,0.06620967641606847,0.08228820921788331,3.0
Nocturne,0.04440410418310971,0.016131281669843334,2.0
Nunu & Willump,0.12436768389555453,0.16276032673870322,3.0
Powder,0.08140136268579523,0.13035625271089993,1.0
Rell,0.1574813206462737,0.172006817213464,2.0
Renata Glasc,0.05782312925170068,0.048811102690413034,2.0
Renni,0.05513545860080513,0.030828662323890317,3.0
Rumble,0.139229177693307,0.21364844229081245,5.0
Scar,0.06729136305057391,0.052021716230451334,3.0
Sett,0.05744872750088231,0.03716647786160187,2.0
Sevika,0.0682042592615167,0.041228161578270986,5.0
Silco,0.03868587072967504,0.019951040391676868,4.0
Singed,0.045266984706477886,0.04576813057378428,1.0
Smeech,0.0644620811287478,0.03703043977358192,3.0
Steb,0.0721880880585848,0.050733326299028304,1.0
Swain,0.1498896590877874,0.10436921797581511,3.0
Tristana,0.0592350622900521,0.1354434634228318,2.0
Trundle,0.04036192234161777,0.07199884339207402,1.0
Twisted Fate,0.09160752176776177,0.06854976009905586,3.0
Twitch,0.050684409035046826,0.0488045447216927,4.0
Urgot,0.08378569221942717,0.07332569991693046,2.0
Vander,0.06842613768390671,0.02486050420168067,2.0
Vex,0.03380743579350749,0.029185430665541672,1.0
Vi,0.1201963171365305,0.14828113739521828,4.0
Viktor,0.04824943098138974,0.06681251944965722,6.0
Violet,0.03460837887067395,0.009755221736788557,1.0
Vladimir,0.12738696328916896,0.1111511868466899,2.0
Warwick,0.038215389142268644,0.05670688871440968,6.0
Zeri,0.04709279171644763,0.02738095238095238,2.0
Ziggs,0.01733554246440844,0.02032424812030075,2.0
Zoe,0.07800305064742755,0.06716619579904187,4.0
Zyra,0.05004144218814753,0.05704219945576606,1.0
