unit_name,mid_elo,high_elo,unit_cost
Akali,0.49461275193307136,0.49544072948328266,2.0
Ambessa,0.5196801112656467,0.5114633576270106,4.0
Amumu,0.5263024944742659,0.49533174413984904,1.0
Black Rose Sion,0.5592303751351967,0.5794520547945206,
Blitzcrank,0.47811725846407926,0.4783304246655032,3.0
Caitlyn,0.6634855830569023,0.5945719794812093,5.0
Camille,0.5250741322169894,0.47606329165149125,2.0
Cassiopeia,0.5137627211256062,0.49685247696378065,3.0
Corki,0.532376378700723,0.5191196994095545,4.0
Darius,0.44897202204323866,0.4390275611024441,1.0
Dr. Mundo,0.4879468453132722,0.515599603567889,4.0
Draven,0.42961235791314484,0.42970007315288955,1.0
Ekko,0.5566401136916115,0.5044457285589129,4.0
Elise,0.5466327655648808,0.5326742495124508,4.0
Ezreal,0.49184405644582635,0.519773805180591,3.0
Gangplank,0.4801823795505134,0.4979005566849695,3.0
Garen,0.5443260850426974,0.5000948991696322,4.0
Heimerdinger,0.5228097973196012,0.5191864449012645,4.0
Illaoi,0.5412543395736673,0.531421610719492,4.0
Irelia,0.5107879678723293,0.49650532937270664,1.0
Jayce,0.6147650014779781,0.5968342644320298,5.0
Jayce's summons,0.6145176836954104,0.5969395955894172,
Jinx,0.5928334978802485,0.5617412935323383,5.0
Kog'Maw,0.5145608805319881,0.49595715635829046,3.0
LeBlanc,0.6548845702360767,0.6145352552723141,5.0
Leona,0.4851381628080657,0.48565279770444764,2.0
Loris,0.5272152105143006,0.5015359198740288,3.0
Lux,0.4677585400093589,0.4492941889668312,1.0
Maddie,0.515644844706154,0.4620532394785109,1.0
Malzahar,0.6519934273112514,0.626303005768647,5.0
Mel,0.7780212177121771,0.7628017681060864,6.0
Mordekaiser,0.5767162107454745,0.5762951445331825,5.0
Morgana,0.5171440096813231,0.5119818017806016,1.0
Nami,0.53234276166607,0.5146038458996894,3.0
Nocturne,0.4888230313293819,0.5025851136474491,2.0
Nunu & Willump,0.4863137009957012,0.5198325980291097,3.0
Powder,0.4980143769165033,0.4822163538172388,1.0
Rell,0.4717519322782481,0.49955190149625933,2.0
Renata Glasc,0.45244014130577,0.5218342413736173,2.0
Renni,0.42470318683607583,0.4848683730766426,3.0
Rumble,0.6381992946545882,0.59642394402695,5.0
Scar,0.5227548018688354,0.49370981269220016,3.0
Sett,0.48728869086620363,0.4763660744217231,2.0
Sevika,0.5831193088956339,0.6025803187452567,5.0
Silco,0.41981575484113554,0.49397978929262526,4.0
Singed,0.42130274477673085,0.5155557449710194,1.0
Smeech,0.4560132604825342,0.48932994250331713,3.0
Steb,0.51715193223928,0.48785083804423285,1.0
Swain,0.47528505000318494,0.487930936559323,3.0
Tristana,0.49783492979923893,0.5246679537577632,2.0
Trundle,0.4653259987374876,0.46623697819081167,1.0
Twisted Fate,0.5319976745226064,0.4987153134635149,3.0
Twitch,0.5113145367997071,0.5147482371635713,4.0
Urgot,0.4638852161990108,0.516133509124974,2.0
Vander,0.5075964840793993,0.486571244773239,2.0
Vex,0.45677594487366885,0.49148734925514304,1.0
Vi,0.5414777962041644,0.49000974658869395,4.0
Viktor,0.7672353148083011,0.7591530856394745,6.0
Violet,0.4505148140365623,0.4630174612517167,1.0
Vladimir,0.5128259486962052,0.4977820791999355,2.0
Warwick,0.7637883576307473,0.7708202880400752,6.0
Zeri,0.5126492005104721,0.48061038779224413,2.0
Ziggs,0.4046021093000959,0.29819927971188476,2.0
Zoe,0.5382122056216764,0.4959082188026156,4.0
Zyra,0.4616508962227864,0.5094387973007602,1.0
